type,x,y,widthX,heightY,animate,startFrame,startpoint,endFrame,spriteY,fan,showMinimumDifficulty,hideMinimumDifficulty
surface,11,8,1,1,0,1,0,4,0,0,1,5
surface,12,8,1,1,0,1,0,4,0,0,1,5
surface,13,8,1,1,0,1,0,4,0,0,1,5
surface,14,8,1,1,0,1,0,4,0,0,1,5
surface,15,8,1,1,0,1,0,4,0,0,1,5
surface,16,8,1,1,0,1,0,4,0,0,1,5
surface,17,8,1,1,0,4,0,4,0,0,1,5
surface,1,11,2,1,0,5,TRUE,5,0,0,1,5
surface,5,11,1,1,0,0,0,0,0,0,1,5
surface,6,11,1,1,0,1,0,1,0,0,1,5
surface,7,11,1,1,0,1,0,1,0,0,1,5
surface,8,11,1,1,0,1,0,4,0,0,1,5
surface,9,11,1,1,0,1,0,4,0,0,1,5
surface,10,11,1,1,0,1,0,4,0,0,1,5
surface,11,11,1,1,0,4,0,4,0,0,1,5
surface,12,11,1,1,1,2,0,3,-8.78125,1,1,5
surface,14,11,1,1,0,0,0,4,0,0,1,5
surface,15,11,1,1,0,4,0,4,0,0,1,5
