type,index,x,y,widthX,heightY,animate,startFrame,startpoint,endFrame,spriteY,fan,message,caveName,inCave,showMinimumDifficulty,hideMinimumDifficulty
surface,4,1,6,2,1,0,5,1,1,0,0,,,0,1,5
surface,6,14,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,7,15,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,8,16,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,9,17,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,10,20,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,11,21,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,12,24,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,13,25,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,14,26,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,18,17,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,19,18,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,20,19,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,21,20,11,1,1,1,4,0,1,0,0,,,0,1,5
surface,22,23,11,1,1,0,0,0,1,0,0,,,0,1,5
surface,23,24,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,24,25,11,1,1,0,4,0,1,0,0,,,0,1,5
surface,25,2,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,26,3,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,27,4,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,28,5,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,29,6,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,30,7,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,31,8,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,32,9,14,1,1,0,4,0,1,0,0,,,0,1,5
Items,33,9,12,1,1,1,0,0,1,-6,0,"The more difficult, the more you see",,0,1,5
surface,34,12,14,1,1,0,0,0,0,0,0,,,0,1,5
surface,35,13,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,36,14,14,1,1,0,4,0,3,0,0,,,0,1,5
surface,37,17,14,1,1,0,0,0,0,0,0,,,0,1,5
surface,38,18,14,1,1,0,4,0,1,0,0,,,0,1,5
surface,39,21,14,1,1,0,0,0,1,0,0,,,0,1,5
surface,40,22,14,1,1,0,1,0,1,0,0,,,0,1,2
surface,41,23,14,1,1,0,4,0,1,0,0,,,0,1,5
Items,42,3,5,1,1,1,0,0,1,-6,0,There's never a single path,,0,1,5
surface,43,2,14,1,1,0,1,0,0,0,0,,firstTest,1,3,5
surface,44,3,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,45,4,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,46,5,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,47,6,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,48,7,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,49,16,11,1,1,1,2,0,3,-8.78125,1,,,0,1,5
surface,50,24,14,1,1,1,2,0,3,-8.78125,1,,,0,1,5
